_id,epi_week,disease,no._of_cases
668,2012-W22,Meningococcal Infection,0
669,2012-W22,Mumps,5
670,2012-W22,Nipah virus infection,0
671,2012-W22,Paratyphoid,1
672,2012-W22,Pertussis,1
673,2012-W22,Plague,0
674,2012-W22,Pneumococcal Disease (invasive),3
675,2012-W22,Poliomyelitis,0
676,2012-W22,Rubella,1
677,2012-W22,Salmonellosis(non-enteric fevers),30
678,2012-W22,SARS,0
679,2012-W22,Typhoid,1
680,2012-W22,Viral Hepatitis A,3
681,2012-W22,Viral Hepatitis E,2
682,2012-W22,Yellow Fever,0
683,2012-W23,Acute Viral hepatitis B,2
684,2012-W23,Acute Viral hepatitis C,0
685,2012-W23,Avian Influenza,0
686,2012-W23,Campylobacterenterosis,7
687,2012-W23,Chikungunya Fever,0
688,2012-W23,Cholera,0
689,2012-W23,Dengue Fever,99
690,2012-W23,Dengue Haemorrhagic Fever,1
691,2012-W23,Diphtheria,0
692,2012-W23,Encephalitis,0
693,2012-W23,Haemophilus influenzae type b,0
694,2012-W23,"Hand, Foot Mouth Disease",981
695,2012-W23,Legionellosis,0
696,2012-W23,Malaria,3
697,2012-W23,Measles,0
698,2012-W23,Melioidosis,0
699,2012-W23,Meningococcal Infection,0
700,2012-W23,Mumps,9
701,2012-W23,Nipah virus infection,0
702,2012-W23,Paratyphoid,1
703,2012-W23,Pertussis,1
704,2012-W23,Plague,0
705,2012-W23,Pneumococcal Disease (invasive),2
706,2012-W23,Poliomyelitis,0
707,2012-W23,Rubella,1
708,2012-W23,Salmonellosis(non-enteric fevers),37
709,2012-W23,SARS,0
710,2012-W23,Typhoid,2
711,2012-W23,Viral Hepatitis A,2
712,2012-W23,Viral Hepatitis E,0
713,2012-W23,Yellow Fever,0
714,2012-W24,Acute Viral hepatitis B,0
715,2012-W24,Acute Viral hepatitis C,0
716,2012-W24,Avian Influenza,0
717,2012-W24,Campylobacterenterosis,5
718,2012-W24,Chikungunya Fever,0
719,2012-W24,Cholera,0
720,2012-W24,Dengue Fever,87
721,2012-W24,Dengue Haemorrhagic Fever,1
722,2012-W24,Diphtheria,0
723,2012-W24,Encephalitis,0
724,2012-W24,Haemophilus influenzae type b,0
725,2012-W24,"Hand, Foot Mouth Disease",906
726,2012-W24,Legionellosis,2
727,2012-W24,Malaria,3
728,2012-W24,Measles,1
729,2012-W24,Melioidosis,1
730,2012-W24,Meningococcal Infection,0
731,2012-W24,Mumps,11
732,2012-W24,Nipah virus infection,0
