origin_week,target_week,h,predicted,lower,upper,actual,abs_error,signed_error,in_pi,winkler_alpha20,p_exceed_200,p_exceed_300,p_exceed_400,p_exceed_500,model_kind
2020-03-15,2020-04-19,5,438.11345207496544,246.21376190789388,630.013142242037,400.0,38.11345207496544,38.11345207496544,True,383.79938033414317,0.9441094281520481,0.8218371973814489,0.6004609038124886,0.3396902505121556,sarima
2020-03-15,2020-04-26,6,474.9728456891004,262.55579512766144,687.3898962505393,390.0,84.97284568910038,84.97284568910038,True,424.8341011228779,0.9514446234515851,0.8544436064527337,0.6744887655394398,0.43998818042266163,sarima
2020-03-15,2020-05-03,7,568.1594450784322,336.69831764074604,799.6205725161184,507.0,61.15944507843221,61.15944507843221,True,462.92225487537235,0.9792499441805089,0.9312014010196319,0.8240987332649305,0.647061359613323,sarima
2020-03-15,2020-05-10,8,590.1532804791894,341.2408032847289,839.0657576736501,526.0,64.15328047918945,64.15328047918945,True,497.8249543889212,0.9777219042219308,0.9324044213440539,0.8362250257685553,0.6787409660958943,sarima
2020-03-15,2020-05-17,9,659.14587999676,393.81626219809317,924.4754977954267,619.0,40.14587999675996,40.14587999675996,True,530.6592355973335,0.9867149069566381,0.9586077209816121,0.894666085647032,0.7789670654473505,sarima
2020-03-15,2020-05-24,10,682.1705790104853,401.36763949721876,962.9735185237519,732.0,49.82942098951469,-49.82942098951469,True,561.6058790265331,0.9861196985942002,0.95944202559747,0.9010995124475991,0.7971364575080124,sarima
2020-03-15,2020-05-31,11,681.1658357148788,385.7107661988627,976.6209052308948,868.0,186.83416428512123,-186.83416428512123,True,590.910139032032,0.9815631832610601,0.9508741306867774,0.8886950208636673,0.7840210940654727,sarima
2020-03-15,2020-06-07,12,748.1668620980844,438.73808511603625,1057.5956390801325,1153.0,404.8331379019156,-404.8331379019156,False,1572.9011631627711,0.9884086859917641,0.9682895335684657,0.9253553562606911,0.8479930591064433,sarima
2020-04-12,2020-04-19,1,372.6833811631304,284.42074801740984,460.9460143088509,400.0,27.316618836869623,-27.316618836869623,True,176.52526629144108,0.993919102924772,0.8543752619869607,0.3458144372123164,0.03225233253172155,sarima
2020-04-12,2020-04-26,2,412.7885619594233,296.6356243212894,528.9414995975571,390.0,22.788561959423305,22.788561959423305,True,232.30587527626773,0.9905589700724391,0.8933382263357877,0.5561067096855006,0.16795766375784082,sarima
2020-04-12,2020-05-03,3,505.74325754107593,363.5983417820272,647.8881733001247,507.0,1.2567424589240659,-1.2567424589240659,True,284.28983151809746,0.9970799564651449,0.9682027607826031,0.829805559859142,0.5206488312604749,sarima
2020-04-12,2020-05-10,4,526.7297536642361,357.66105967459026,695.798447653882,526.0,0.7297536642361138,0.7297536642361138,True,338.13738797929176,0.99337031994192,0.9571646793038577,0.8316374147817057,0.5802843266374702,sarima
2020-04-12,2020-05-17,5,596.2676408342923,405.2665025980298,787.2687790705547,619.0,22.73235916570775,-22.73235916570775,True,382.00227647252495,0.9960804128645334,0.9765902015485693,0.9060702536216179,0.7408431536866671,sarima
2020-04-12,2020-05-24,6,619.1314852223269,407.7461683924387,830.5168020522151,732.0,112.86851477767311,-112.86851477767311,True,422.7706336597764,0.9944753589112454,0.9734956563755668,0.9080040638665687,0.764938135791017,sarima
2020-04-12,2020-05-31,7,618.0505962254376,387.75162715851377,848.3495652923615,868.0,249.94940377456237,-249.94940377456237,False,657.1022852102328,0.9900020976221331,0.9616308120949478,0.887518900001601,0.744391702529523,sarima
